"","Steuerpflichtige insg.","Unselbstständige Erwerbstätige"
"0 b. unter 2",636101,387659
"2 b. unter 4",300096,215096
"4 b. unter 6",274404,177432
"6 b. unter 8",226141,128885
"8 b. unter 10",231518,136823
"10 b. unter 12",273018,135845
"12 b. unter 15",496644,205671
"15 b. unter 18",405428,214053
"18 b. unter 20",266324,142114
"20 b. unter 25",642852,375930
"25 b. unter 30",616962,386584
"30 b. unter 35",567024,386008
"35 b. unter 40",448894,325589
"40 b. unter 50",563996,437156
"50 b. unter 70",488006,413863
"70 b. unter 100",218598,191627
"100 b. unter 150",80531,73127
"150 b. unter 200",16991,15846
"200 und mehr",13137,12355
"Insgesamt ...",6766665,4361663
