"","Steuerpflichtige insg.","Unselbstständige Erwerbstätige"
"0 b. unter 2",622324,368486
"2 b. unter 4",295639,212330
"4 b. unter 6",257902,168959
"6 b. unter 8",225691,135265
"8 b. unter 10",223821,130347
"10 b. unter 12",246502,134837
"12 b. unter 15",497690,203790
"15 b. unter 18",396350,211201
"18 b. unter 20",265467,143517
"20 b. unter 25",652235,384342
"25 b. unter 30",640191,398765
"30 b. unter 35",589032,402017
"35 b. unter 40",504816,366019
"40 b. unter 50",661563,503675
"50 b. unter 70",577038,487284
"70 b. unter 100",265701,234727
"100 b. unter 150",100350,91819
"150 b. unter 200",22519,21242
"200 und mehr",15967,15161
"Insgesamt ...",7060798,4613783
