"","Steuerpflichtige insg.","Unselbstständige Erwerbstätige"
"0 b. unter 2",582205,373282
"2 b. unter 4",306985,213164
"4 b. unter 6",283282,172333
"6 b. unter 8",246770,140094
"8 b. unter 10",265528,145129
"10 b. unter 12",389887,143189
"12 b. unter 15",431106,214540
"15 b. unter 18",422559,222750
"18 b. unter 20",273521,156245
"20 b. unter 25",656301,387484
"25 b. unter 30",621159,414208
"30 b. unter 35",523114,368897
"35 b. unter 40",373259,281574
"40 b. unter 50",445107,365900
"50 b. unter 70",388692,335563
"70 b. unter 100",169556,149036
"100 b. unter 150",59691,54333
"150 b. unter 200",12719,11861
"200 und mehr",10331,9746
"Insgesamt ...",6461772,4159328
