"","Steuerpflichtige insg.","Unselbstständige Erwerbstätige"
"0 b. unter 2",564855,356279
"2 b. unter 4",300245,205375
"4 b. unter 6",279717,167463
"6 b. unter 8",247614,140412
"8 b. unter 10",268805,144298
"10 b. unter 12",393303,144576
"12 b. unter 15",433705,216278
"15 b. unter 18",423441,224532
"18 b. unter 20",273151,156661
"20 b. unter 25",653650,389246
"25 b. unter 30",607956,408773
"30 b. unter 35",501137,357262
"35 b. unter 40",356800,269775
"40 b. unter 50",422582,348116
"50 b. unter 70",368803,318168
"70 b. unter 100",160051,140411
"100 b. unter 150",55966,50910
"150 b. unter 200",11776,10977
"200 und mehr",9654,9146
"Insgesamt ...",6333211,4058658
