"","Steuerpflichtige insg.","Unselbstständige Erwerbstätige"
"0 b. unter 2",631589,375437
"2 b. unter 4",300152,216085
"4 b. unter 6",272994,180335
"6 b. unter 8",223626,131905
"8 b. unter 10",228254,132938
"10 b. unter 12",256299,137260
"12 b. unter 15",503527,205661
"15 b. unter 18",403931,215863
"18 b. unter 20",265885,142964
"20 b. unter 25",652067,386233
"25 b. unter 30",631230,396000
"30 b. unter 35",580492,396453
"35 b. unter 40",479877,347511
"40 b. unter 50",616284,472385
"50 b. unter 70",537475,455377
"70 b. unter 100",244617,215019
"100 b. unter 150",92053,84030
"150 b. unter 200",20226,19002
"200 und mehr",15146,14383
"Insgesamt ...",6955724,4524841
