"","Steuerpflichtige insg.","Unselbstständige Erwerbstätige"
"0 b. unter 2",639608,386597
"2 b. unter 4",302438,217758
"4 b. unter 6",274757,179738
"6 b. unter 8",223209,130559
"8 b. unter 10",232127,135985
"10 b. unter 12",267115,136189
"12 b. unter 15",493352,203867
"15 b. unter 18",403238,214301
"18 b. unter 20",266164,142617
"20 b. unter 25",645710,379885
"25 b. unter 30",622416,390005
"30 b. unter 35",572965,391016
"35 b. unter 40",464349,336328
"40 b. unter 50",588342,453399
"50 b. unter 70",509939,431847
"70 b. unter 100",231626,203247
"100 b. unter 150",87722,79979
"150 b. unter 200",20373,19177
"200 und mehr",14660,13894
"Insgesamt ...",6860110,4446388
