"","Steuerpflichtige insg.","Unselbstständige Erwerbstätige"
"0 b. unter 2",633459,381713
"2 b. unter 4",304762,216094
"4 b. unter 6",279196,174787
"6 b. unter 8",234828,133073
"8 b. unter 10",248984,142863
"10 b. unter 12",384708,142920
"12 b. unter 15",417925,207106
"15 b. unter 18",418025,216393
"18 b. unter 20",271071,152601
"20 b. unter 25",642981,377603
"25 b. unter 30",622979,400162
"30 b. unter 35",552453,379970
"35 b. unter 40",415412,305258
"40 b. unter 50",507776,403637
"50 b. unter 70",439290,375886
"70 b. unter 100",196209,172779
"100 b. unter 150",71259,64857
"150 b. unter 200",15018,14028
"200 und mehr",11549,10883
"Insgesamt ...",6667884,4272613
