"","Steuerpflichtige insg.","Unselbstständige Erwerbstätige"
"0 b. unter 2",626474,382991
"2 b. unter 4",299512,212978
"4 b. unter 6",276090,175172
"6 b. unter 8",230206,129916
"8 b. unter 10",236379,138471
"10 b. unter 12",286594,138257
"12 b. unter 15",502290,205903
"15 b. unter 18",409395,214589
"18 b. unter 20",272761,146551
"20 b. unter 25",642810,375283
"25 b. unter 30",621645,394162
"30 b. unter 35",564130,385187
"35 b. unter 40",433564,316110
"40 b. unter 50",537323,420569
"50 b. unter 70",462260,392477
"70 b. unter 100",206308,180946
"100 b. unter 150",75163,68347
"150 b. unter 200",15671,14644
"200 und mehr",12066,11365
"Insgesamt ...",6710641,4303918
